jobid,name,alpha,beta,M1,M2,P,Z,status,date,computation_time,TimeSteps,age,M1f,M2f,Pf,lg_mdot_M1,lg_mdot_M2,lg_mdot_thermal_tau100,lg_mdot_thermal_tau1000,lg_mdot_dynamical_tau100,lg_mdot_dynamical_tau1000,err_msg,stop_criteria,primary_flag
1391475,BG00000001,0.0,0.0,3.15603594696,16.5788416887,9.52666394391,0.00271754685405,completed,20160606,3.1110494444444443,23209.0,13.391369256161399,3.1563599362063064,11.749727308941715,0.49875029280175553,-7.907208411263709,0.8834902061781985,-7.4583428394486155,-7.445468943517906,-7.4583428394486155,-7.445468943517906,none,-2,2
1391476,BG00000002,0.0,0.0,13.0902133301,27.1287285072,30.3821556399,0.00268948922463,completed,20160606,0.4715427777777778,2532.0,7.6593237841806,13.096063517176136,22.521650652720552,26.210666981690263,-7.445246842415656,-4.0617925874345895,-4.280850505830497,-4.283353092647867,-4.280850505830497,-4.283353092647867,none,4,3
1391477,BG00000003,0.0,0.0,44.775365658,5.88051113201,0.377367597815,0.00014269039801,completed,20160606,0.003439722222222222,1.0,0.0011925107669460422,44.775365658,5.8805111320100005,0.37736759781499796,-98.99999999999999,-98.99999999999999,-4.1600709446436746,-4.163317020475669,-4.1600709446436746,-4.163317020475669,none,1,1
1391478,BG00000004,0.0,0.0,8.2656572131,24.8567663616,42.1759877324,0.00442775977927,completed,20160606,0.4552125,2674.0,8.443589879298884,8.268239173230489,20.38551297351497,24.68976646400764,-7.6423606176299215,-4.0356129791522015,-4.311173431097958,-4.315186492316519,-4.311173431097958,-4.315186492316519,none,4,3
1391479,BG00000005,0.0,0.0,36.1049068246,15.9641815038,100.751615786,0.00158881921494,completed,20160606,0.06444694444444445,532.0,14.483374870823218,36.10504599108322,15.662305192890242,105.24652590591975,-7.0313556470878655,-3.212245976565426,-3.092503397232575,-3.0972076602540137,-3.092503397232575,-3.0972076602540137,none,4,3
1391480,BG00000006,0.0,0.0,49.1306927498,25.8758120555,3.18276450411,0.00552181362956,error,20160606,5.244060277777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,debug1: do_kap_for_cell,0,0
1391481,BG00000007,0.0,0.0,35.9895869163,17.9788411545,56.2530593992,0.00164922467312,completed,20160606,0.0965825,693.0,12.331850094957877,35.99372289782457,16.882733301391575,64.28115259406731,-7.0326860888503555,-3.2830741465911695,-3.2816616751877867,-3.2893878431168426,-3.2816616751877867,-3.2893878431168426,none,4,3
1391482,BG00000008,0.0,0.0,25.3186259615,14.7957072303,6.50412128413,0.000422374361475,completed,20160606,1.0468936111111111,5714.0,16.47542957232511,25.357324372925937,11.372537672157607,11.238852265347765,-7.116246368094314,-3.952980153894036,-4.3489759650568525,-4.350235581586723,-4.3489759650568525,-4.350235581586723,none,4,3
1391483,BG00000009,0.0,0.0,4.02373925406,6.95507269557,45.4748501191,0.000419386444786,completed,20160606,1.3986147222222223,4798.0,58.61882301409166,4.024091150346581,4.9763530719647315,42.42837443563207,-7.8868085108957935,-4.706575079692562,-3.443089455017079,-3.459859503523858,-3.443089455017079,-3.459859503523858,none,5,5
1391484,BG00000010,0.0,0.0,29.1977093823,11.2518946282,814.181227448,0.000116760393197,completed,20160606,1.2857466666666668,4403.0,24.71835430254174,29.211718916029653,8.379651768738404,1400.2528162610877,-7.039306245957983,-3.975183983455253,-0.9596329770770469,-1.0389865507450302,-0.9596329770770469,-1.0389865507450302,none,5,5
1391485,BG00000011,0.0,0.0,34.1343511993,5.59663837378,0.218715176956,0.00474003195951,completed,20160606,0.0010619444444444444,1.0,0.0013495279548669627,34.1343511993,5.596638373779999,0.2187151769559989,-98.99999999999999,-98.99999999999999,-4.283134109457922,-4.287327181985303,-4.283134109457922,-4.287327181985303,none,1,1
1391486,BG00000012,0.0,0.0,10.556360388,18.1165938133,285.132798643,0.0129263489073,completed,20160606,0.45319444444444446,2275.0,12.680276962143799,10.560868091301023,14.453309223400288,285.1516660421798,-7.552365763661389,-3.8880656733374037,-3.444391019548214,-3.4462657038546234,-3.444391019548214,-3.4462657038546234,none,4,3
1391487,BG00000013,0.0,0.0,3.2673081787,2.73846763954,3.11426401787,0.000460477870238,completed,20160606,3.814787222222222,17265.0,435.8778306655005,3.342175665402211,1.0977254731417143,19.867573650161585,-98.99999999999999,-7.1883786642607035,-4.806437166377492,-4.807247582430811,-4.806437166377492,-4.807247582430811,none,2,5
